Name,Country,Born,Order,Consistory,Office
Pietro Parolin,Italy,17 January 1955,CB,22 February 2014 Francis,Secretary of State of His Holiness
Fernando Filoni,Italy,15 April 1946,CB,18 February 2012 Benedict XVI,Grand Master of the Order of the Holy Sepulchre
Luis Antonio Tagle,Philippines,21 June 1957,CB,24 November 2012 Benedict XVI,Pro-Prefect of the Dicastery for Evangelization
Robert Francis Prevost OSA,United States,14 September 1955,CB,30 September 2023 Francis,Prefect of the Dicastery for Bishops
Louis Raphaël I Sako,Iraq,4 July 1948,CB,28 June 2018 Francis,Patriarch of Baghdad (Chaldean Church)
Vinko Puljić,Bosnia and Herzegovina,8 September 1945,CP,26 November 1994 John Paul II,Archbishop emeritus of Vrhbosna
Peter Turkson,Ghana,11 October 1948,CP,21 October 2003 John Paul II,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences
Josip Bozanić,Croatia,20 March 1949,CP,21 October 2003 John Paul II,Archbishop emeritus of Zagreb
Philippe Barbarin,France,17 October 1950,CP,21 October 2003 John Paul II,Archbishop emeritus of Lyon
Péter Erdő,Hungary,25 June 1952,CP,21 October 2003 John Paul II,Archbishop of Esztergom–Budapest
Stanisław Ryłko,Poland,4 July 1945,CP,24 November 2007 Benedict XVI,Archpriest of the Papal Basilica of Saint Mary Major
Francisco Robles Ortega,Mexico,2 March 1949,CP,24 November 2007 Benedict XVI,Archbishop of Guadalajara
Daniel DiNardo,United States,23 May 1949,CP,24 November 2007 Benedict XVI,Archbishop emeritus of Galveston–Houston
Odilo Scherer,Brazil,21 September 1949,CP,24 November 2007 Benedict XVI,Archbishop of São Paulo
Robert Sarah,Guinea,15 June 1945,CP,20 November 2010 Benedict XVI,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments
Raymond Leo Burke,United States,30 June 1948,CP,20 November 2010 Benedict XVI,Patron emeritus of the Sovereign Military Order of Malta
Kurt Koch,Switzerland,15 March 1950,CP,20 November 2010 Benedict XVI,Prefect of the Dicastery for Promoting Christian Unity
Kazimierz Nycz,Poland,1 February 1950,CP,20 November 2010 Benedict XVI,Archbishop emeritus of Warsaw
Malcolm Ranjith,Sri Lanka,15 November 1947,CP,20 November 2010 Benedict XVI,Archbishop of Colombo
Reinhard Marx,Germany,21 September 1953,CP,20 November 2010 Benedict XVI,Archbishop of Munich and Freising and Coordinator of the Council for the Economy
João Braz de Aviz,Brazil,24 April 1947,CP,18 February 2012 Benedict XVI,Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Thomas Collins,Canada,16 January 1947,CP,18 February 2012 Benedict XVI,Archbishop emeritus of Toronto
Wim Eijk,Netherlands,22 June 1953,CP,18 February 2012 Benedict XVI,Archbishop of Utrecht
Giuseppe Betori,Italy,25 February 1947,CP,18 February 2012 Benedict XVI,Archbishop emeritus of Florence
Timothy Dolan,United States,6 February 1950,CP,18 February 2012 Benedict XVI,Archbishop of New York
Rainer Woelki,Germany,18 August 1956,CP,18 February 2012 Benedict XVI,Archbishop of Cologne
James Michael Harvey,United States,20 October 1949,CP,24 November 2012 Benedict XVI,Archpriest of the Papal Basilica of Saint Paul Outside the Walls
Baselios Cleemis,India,15 June 1959,CP,24 November 2012 Benedict XVI,Major Archbishop of Trivandrum (Syro-Malankara Church)
Gerhard Ludwig Müller,Germany,31 December 1947,CP,22 February 2014 Francis,Prefect emeritus of the Congregation for the Doctrine of the Faith
Vincent Nichols,United Kingdom,8 November 1945,CP,22 February 2014 Francis,Archbishop of Westminster
Leopoldo Brenes,Nicaragua,7 March 1949,CP,22 February 2014 Francis,Archbishop of Managua
Gérald Lacroix ISPX,Canada,27 July 1957,CP,22 February 2014 Francis,Archbishop of Quebec
Jean-Pierre Kutwa,Ivory Coast,22 December 1945,CP,22 February 2014 Francis,Archbishop emeritus of Abidjan
Orani João Tempesta OCist,Brazil,23 June 1950,CP,22 February 2014 Francis,Archbishop of São Sebastião do Rio de Janeiro
