Name,Country,Born,Order,Consistory,Office,Country,Region,L1_Tags,L1_Scores,L2_Tags,L2_Scores,L3_Tags,L3_Scores,L4_Tags,L4_Scores,L5_Tags,L5_Scores,Paragraph
Pietro Parolin,Italy,17 January 1955,CB,22 February 2014 Francis,Secretary of State of His Holiness,Italy,Europe,EU_ITALY,0.93,INST_SEC_STATE,0.96,SOC_DIPLO_REAL;REF_STATUS_QUO;DOCT_CONSERV,0.9;0.75;0.55,NET_SANT,0.28,FAC_CURIA_DIPLO;FAC_CURIA_ADMIN,0.85;0.45,"Cardinal Secretary of State Pietro Parolin is first and foremost the Holy See’s chief diplomat. He consistently privileges negotiated settlements and incremental agreements—from the provisional accord with Beijing to shuttle mediation offers in the Ukraine war—over confrontational stances. Institutionally he defends papal primacy and cautions against decentralising experiments such as the German Synodal Path, favouring the post-conciliar status quo. On doctrinal questions he projects a moderately conservative line, reaffirming traditional anthropology while echoing Pope Francis’ pastoral tone."
Fernando Filoni,Italy,15 April 1946,CB,18 February 2012 Benedict XVI,Grand Master of the Order of the Holy Sepulchre,Italy,Europe,EU_ITALY,0.92,INST_EMERITUS,0.78,SOC_DIPLO_REAL;REF_STATUS_QUO;DOCT_CONSERV,0.78;0.62;0.55,NET_NONE,0.85,FAC_CURIA_DIPLO;FAC_CURIA_ADMIN,0.75;0.18,"A veteran Vatican diplomat, Cardinal Filoni is best known for his pragmatic engagement with complex geopolitical situations such as Iraq and, above all, the Holy See’s negotiations with Beijing. Public interviews stress dialogue and incremental compromise over confrontation, marking him as a diplomatic realist. Institutionally he defends the Curia’s coordinating role in evangelisation and warns that excessive local autonomy risks fragmentation, signalling a preference for the status-quo model of governance. On doctrine he voices standard magisterial positions without calls for change, aligning with a mildly conservative stance."
Luis Antonio Tagle,Philippines,21 June 1957,CB,24 November 2012 Benedict XVI,Pro-Prefect of the Dicastery for Evangelization,Philippines,South-East Asia,SOUTH_EAST_ASIA,0.92,INST_CUR_PREF,0.92,REF_MAX;SOC_MERCY;SOC_SOCJUS,0.82;0.78;0.7,NET_FABC;NET_SANT;NET_CHARIS,0.55;0.35;0.25,FAC_INS_TAGLE;FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE,0.9;0.6;0.45,"A close collaborator of Pope Francis, Cardinal Tagle repeatedly links evangelization to synodality and the “art of listening,” urging greater room for local churches in decision-making. As former Caritas Internationalis president he frames mission around the tears and hopes of migrants, the poor and the wounded, deploying the pope’s “field-hospital” vocabulary of unconditional welcome. His public discourse centres on mercy-pastoral and social-justice priorities rather than doctrinal battles, situating him among the progressive-leaning advocates of maximum synodal participation."
Robert Francis Prevost OSA,United States,14 September 1955,CB,30 September 2023 Francis,Prefect of the Dicastery for Bishops,United States,USA / Canada,USA_CANADA,0.93,INST_CUR_PREF,0.92,REF_STATUS_QUO;SOC_SOCJUS;DOCT_CONSERV,0.78;0.66;0.45,NET_NONE,0.9,FAC_IDE_PROGRESS;FAC_REG_LATAM_CONT,0.45;0.3,"An Augustinian shaped by long mission work in Peru, Cardinal Prevost stresses collegial listening yet affirms that decisive governance remains with the pope and the Roman dicasteries. His public preaching frequently highlights care for migrants, Amazonian peoples and the structurally poor, echoing Francis-era social-justice themes. On contested moral issues he signals continuity with established doctrine, urging bishops to defend Church teaching on life and family. Overall he blends a Francis-style social concern with essentially status-quo views on church governance and doctrine."
Louis Raphaël I Sako,Iraq,4 July 1948,CB,28 June 2018 Francis,Patriarch of Baghdad (Chaldean Church),Iraq,Middle East & North Africa,MENA,0.9,INST_PAT,0.92,SOC_DIPLO_REAL;DOCT_CONSERV;SOC_SOCJUS,0.8;0.55;0.42,NET_SANT,0.55,FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.45;0.25,"Patriarch Louis Raphaël Sako is known for pragmatic diplomacy amid Iraq’s volatile politics, urging negotiated solutions with state authorities and Muslim leaders to secure Christian citizenship and security. Doctrinally he defends traditional teaching on marriage and sexuality, distancing his Church from Western progressive experiments. At the same time, he foregrounds the humanitarian plight of displaced Iraqis—Christian, Yazidi and Muslim alike—pressing international bodies for aid and reconstruction. This blend positions him as a diplomatic realist with conservative doctrine and a social-justice pastoral concern."
Vinko Puljić,Bosnia and Herzegovina,8 September 1945,CP,26 November 1994 John Paul II,Archbishop emeritus of Vrhbosna,Bosnia And Herzegovina,Europe,EU_CEE_BALK,0.86,INST_EMERITUS,0.82,DOCT_CONSERV;SOC_DIPLO_REAL,0.78;0.47,NET_NONE,0.9,,,"As archbishop of Sarajevo during and after the Bosnian war, Cardinal Puljić upheld traditional Catholic teaching on life and family, repeatedly condemning abortion and rejecting the redefinition of marriage. At the same time he cultivated dialogue with Muslims and Orthodox Christians, urging pragmatic cooperation to rebuild a war-torn society and protect minority rights. His profile therefore combines a clearly conservative doctrinal stance with a diplomatic, peace-oriented social approach rather than overt culture-war rhetoric."
Peter Turkson,Ghana,11 October 1948,CP,21 October 2003 John Paul II,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,Ghana,Africa,AFRICA,0.92,INST_CUR_PREF,0.78,SOC_SOCJUS;SOC_ECON_LEFT;DOCT_CONSERV,0.92;0.86;0.45,NET_SECAM;NET_SANT;NET_CL,0.55;0.45;0.25,FAC_IDE_GLOBAL_JUSTICE;FAC_REG_AFRICA;FAC_CURIA_ADMIN,0.75;0.45;0.3,"Cardinal Peter Turkson is internationally identified with Pope Francis’ social-justice agenda. A principal architect of Laudato Si’, he consistently links climate change, migration and pandemics to structural sin and urges wealthy nations to enact binding emissions targets, debt relief and fair-trade rules. His speeches to Davos and COP summits criticise unfettered markets and call for global regulatory bodies that prioritise the poor. At the same time he affirms traditional teaching on marriage and sexuality, signalling openness to pastoral accompaniment but resisting doctrinal alteration."
Josip Bozanić,Croatia,20 March 1949,CP,21 October 2003 John Paul II,Archbishop emeritus of Zagreb,Croatia,Europe,EU_CEE_BALK,0.88,INST_EMERITUS,0.92,DOCT_CONSERV;SOC_POP_NATL;REF_STATUS_QUO,0.75;0.55;0.45,NET_NONE,0.55,,,"Cardinal Josip Bozanić is generally classed among the Church’s conservative wing. He has repeatedly defended the traditional definition of marriage, opposed gender-ideology legislation, and taken a pro-life stance, linking these issues to Croatian cultural identity. His language often evokes national renewal through Catholic values, a note that resonates with populist currents in post-war Croatia. On governance questions he supports the Pope’s authority and prefers incremental change, warning that excessive decentralisation could fracture ecclesial unity. Overall, his profile is conservative, culturally nationalist and institutionally cautious."
Philippe Barbarin,France,17 October 1950,CP,21 October 2003 John Paul II,Archbishop emeritus of Lyon,France,Europe,EU_WEST_NORDIC,0.82,INST_EMERITUS,0.92,DOCT_CONSERV;SOC_POP_NATL,0.83;0.42,NET_NONE,0.75,FAC_IDE_TRAD,0.32,"Cardinal Philippe Barbarin occupies the conservative wing of the French hierarchy. He has consistently defended traditional Catholic teaching on marriage, abortion and euthanasia, warning that legalising same-sex unions would erode France’s moral fabric. His visible presence at the nationwide Manif-pour-tous marches linked defence of the family to national culture, giving his rhetoric a culture-war colouring even if he avoids explicit partisan politics. While personally loyal to Pope Francis, Barbarin’s public interventions prioritise doctrinal continuity and resistance to progressive moral legislation."
Péter Erdő,Hungary,25 June 1952,CP,21 October 2003 John Paul II,Archbishop of Esztergom–Budapest,Hungary,Europe,EU_CEE_BALK,0.92,INST_RES_PRIMATE,0.8,DOCT_CONSERV;REF_STATUS_QUO,0.78;0.45,NET_NONE,0.9,FAC_INS_PELL;FAC_IDE_TRAD,0.45;0.3,"Canon-law scholar Cardinal Erdő is regarded as doctrinally conservative. He repeatedly stresses the indissolubility of marriage, rejects gender theory and opposes same-sex blessings, invoking continuity with John Paul II and Benedict XVI. While supportive of Pope Francis’ call to listen, he warns that excessive decentralisation could weaken church unity, signalling preference for incremental, Rome-centred governance rather than sweeping structural overhaul. His public interventions therefore place him in the camp of doctrinal conservatism coupled with a status-quo approach to institutional reform."
Stanisław Ryłko,Poland,4 July 1945,CP,24 November 2007 Benedict XVI,Archpriest of the Papal Basilica of Saint Mary Major,Poland,Europe,EU_CEE_BALK,0.82,INST_AUX,0.42,DOCT_CONSERV;REF_STATUS_QUO,0.78;0.55,NET_NEOCAT;NET_CL;NET_CHARIS,0.55;0.3;0.25,,,"Cardinal Stanisław Ryłko, a close collaborator of St John Paul II and former head of the Pontifical Council for the Laity, consistently defends classic magisterial positions on life and sexuality and warns against moral relativism. He cites Humanae Vitae and Veritatis Splendor in urging Catholics to uphold objective truths and a “culture of life.” On Church governance he supports Pope-led, incremental reform, stressing continuity and unity over bold decentralising experiments, which places him within a Rome-centred, status-quo current rather than progressive or traditionalist fringes."
Francisco Robles Ortega,Mexico,2 March 1949,CP,24 November 2007 Benedict XVI,Archbishop of Guadalajara,Mexico,Central America,CENTRAL_AMERICA,0.86,INST_RES_CAPITAL,0.8,DOCT_CONSERV;SOC_SOCJUS,0.78;0.71,NET_NONE,0.8,FAC_REG_LATAM_CONT;FAC_IDE_GLOBAL_JUSTICE,0.46;0.25,"Cardinal Francisco Robles Ortega pairs firm doctrinal conservatism with an active commitment to social questions. He publicly defends life from conception and the traditional family, criticizing Mexico’s liberalizing laws on abortion and marriage. Simultaneously, he visits migrant shelters, speaks against xenophobia, and urges structural solidarity with those scarred by poverty, violence and the pandemic. The blend situates him within the Latin-American mainstream: morally orthodox yet keen on the Church’s preferential option for the vulnerable rather than culture-war nationalism or integralist traditionalism."
Daniel DiNardo,United States,23 May 1949,CP,24 November 2007 Benedict XVI,Archbishop emeritus of Galveston–Houston,United States,USA / Canada,USA_CANADA,0.85,INST_EMERITUS,0.82,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.78;0.46;0.4,NET_NONE,0.8,FAC_IDE_TRAD,0.25,"A former USCCB president, Cardinal DiNardo consistently defends Catholic moral doctrine on life, marriage and sexuality, cautioning against proposals that would revise Humanae Vitae or bless same-sex unions. At the same time he foregrounds the Church’s social teaching on migrants, refugees and the poor, frequently pressing U.S. lawmakers for humane immigration and welfare policies. While supportive of Pope Francis’ call to listen and consult more widely, he stresses that any reforms must preserve papal primacy and the Church’s existing structures of authority."
Odilo Scherer,Brazil,21 September 1949,CP,24 November 2007 Benedict XVI,Archbishop of São Paulo,Brazil,South America,SOUTH_AMERICA,0.93,INST_RES_CAPITAL,0.8,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.78;0.56;0.4,NET_CELAM,0.75,FAC_REG_LATAM_CONT;FAC_IDE_GLOBAL_JUSTICE,0.55;0.3,"Cardinal Odilo Scherer is generally seen as doctrinally conservative, consistently defending Church teaching on abortion, marriage and bio-ethics in Brazilian media. At the same time he employs Pope Francis’ social language, lamenting extreme inequality and urging policies that protect the poor and the Amazon, though without invoking classic liberation-theology categories. On Church governance he stresses communion with Rome and prudent, step-by-step reform rather than sweeping decentralisation. The mix yields a profile of moral orthodoxy tempered by moderate social-justice engagement."
Robert Sarah,Guinea,15 June 1945,CP,20 November 2010 Benedict XVI,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,Guinea,Africa,AFRICA,0.93,INST_EMERITUS,0.83,DOCT_TRAD;REF_STATUS_QUO;SOC_POP_NATL,0.92;0.55;0.3,NET_NONE,0.92,FAC_IDE_BURKE_SARAH;FAC_IDE_TRAD;FAC_REG_AFRICA,0.9;0.7;0.4,"A leading voice of post-conciliar traditionalism, Cardinal Robert Sarah defends pre-1969 liturgical forms, urges ad orientem celebration and warns that doctrinal “novelties” imperil Catholic identity. He opposes Communion for the divorced-remarried, same-sex blessings and the German Synodal Path, favouring a strong Roman centre over local experimentation. His public rhetoric frames gender ideology and secularism as civilisational threats, giving him a culture-war profile even if not linked to a specific national politics."
Raymond Leo Burke,United States,30 June 1948,CP,20 November 2010 Benedict XVI,Patron emeritus of the Sovereign Military Order of Malta,United States,USA / Canada,USA_CANADA,0.9,INST_EMERITUS,0.85,DOCT_TRAD;SOC_POP_NATL;REF_STATUS_QUO,0.93;0.68;0.55,NET_NONE,0.8,FAC_IDE_BURKE_SARAH;FAC_IDE_DUBIA;FAC_IDE_TRAD,0.95;0.92;0.8,"Cardinal Burke stands at the spear-tip of Catholic traditionalism. A vocal champion of the 1962 liturgy and defender of pre-conciliar theological formulations, he frequently challenges perceived novelties under Pope Francis, especially on marriage, sexuality and synodality. His public interventions frame such issues as part of a wider civilisational clash, linking abortion and LGBT agendas to the erosion of Western Christian identity—language resonant with U.S. culture-war politics. While critical of the current pontificate, he still appeals to strong, central papal authority to safeguard doctrinal continuity."
