,CompositeScore,WinRate,CI_Low,CI_High
Anthony Poola,0.4851017649673744,0.012105263157894737,0.011531698644429664,0.01270739804005321
Leonardo Ulrich Steiner OFM,0.4844241893821706,0.011466165413533834,0.01090815457935235,0.012052784006388565
Fridolin Ambongo Besungu OFMCap,0.45788880629651213,0.011172932330827067,0.0106222078003261,0.011752281774048171
Jean-Marc Aveline,0.4511977837711098,0.010932330827067668,0.010387658882765407,0.011505641758500239
Kevin Farrell,0.44986840349554374,0.01118045112781955,0.010629538543576266,0.011759988184947171
Jaime Spengler OFM,0.4465873776020593,0.011293233082706767,0.010739507490558135,0.011875576550128407
Stephen Brislin,0.44154907404441707,0.011345864661654135,0.01079083129850234,0.011929512821146933
Paulo Cezar Costa,0.4400977864301881,0.01055639097744361,0.010021315450851102,0.011120127481050202
José Cobo Cano,0.4381715344402625,0.011210526315789473,0.010658862168797639,0.011790813176316119
Ángel Sixto Rossi SJ,0.42762229217994513,0.01030827067669173,0.009779625590196416,0.010865591252523562
Robert McElroy,0.42038397120052046,0.010458646616541353,0.009926094899717748,0.01101986502745381
Arthur Roche,0.4173182632175695,0.010601503759398495,0.010065267459742008,0.011166398397376766
Carlos Aguiar Retes,0.413790596508699,0.010075187969924812,0.009552656613415275,0.010626408447772087
Francesco Montenegro,0.411693435173227,0.009992481203007518,0.009472136705541286,0.01054151965877968
Blase J. Cupich,0.4107171666202424,0.010037593984962406,0.009516055505729887,0.010587823784167456
Adalberto Martínez Flores,0.4099512359190239,0.010526315789473684,0.009992015532400818,0.011089278782674019
Jose Advincula OP,0.4065211098675857,0.010203007518796993,0.009677114563560567,0.010757582119855197
Mario Aurelio Poli,0.4058749867181622,0.010503759398496241,0.009970041342913004,0.011066141509534182
Cristóbal López Romero SDB,0.40567045062075835,0.01018796992481203,0.009662471322354897,0.010742151052575807
Charles Maung Bo SDB,0.40355438013358735,0.010090225563909774,0.009567297590375402,0.010641841779321941
John Ribat MSC,0.40352531095121136,0.010015037593984963,0.00949409575974361,0.010564672067369413
Tarcisio Isao Kikuchi SVD,0.40158066076666105,0.009977443609022557,0.00945749772154193,0.010526084334246654
Juan José Omella,0.4013566417101109,0.010180451127819548,0.0096551498141164,0.010734435406570618
Américo Aguiar,0.39779279509886756,0.009842105263157895,0.00932576086233115,0.010387152416506253
Antoine Kambanda,0.3898148771475651,0.00981203007518797,0.00929648945714223,0.010356275204555274
Sérgio da Rocha,0.3873051729784772,0.009834586466165413,0.009318442892493636,0.010379433232060174
