,WinCount,WinRate,CI_Low,CI_High
Anthony Poola,1610,0.012105263157894737,0.011531698644429664,0.01270739804005321
Leonardo Ulrich Steiner OFM,1525,0.011466165413533834,0.01090815457935235,0.012052784006388565
Stephen Brislin,1509,0.011345864661654135,0.01079083129850234,0.011929512821146933
Jaime Spengler OFM,1502,0.011293233082706767,0.010739507490558135,0.011875576550128407
José Cobo Cano,1491,0.011210526315789473,0.010658862168797639,0.011790813176316119
Kevin Farrell,1487,0.01118045112781955,0.010629538543576266,0.011759988184947171
Fridolin Ambongo Besungu OFMCap,1486,0.011172932330827067,0.0106222078003261,0.011752281774048171
Jean-Marc Aveline,1454,0.010932330827067668,0.010387658882765407,0.011505641758500239
Arthur Roche,1410,0.010601503759398495,0.010065267459742008,0.011166398397376766
Paulo Cezar Costa,1404,0.01055639097744361,0.010021315450851102,0.011120127481050202
Adalberto Martínez Flores,1400,0.010526315789473684,0.009992015532400818,0.011089278782674019
Mario Aurelio Poli,1397,0.010503759398496241,0.009970041342913004,0.011066141509534182
Robert McElroy,1391,0.010458646616541353,0.009926094899717748,0.01101986502745381
Ángel Sixto Rossi SJ,1371,0.01030827067669173,0.009779625590196416,0.010865591252523562
Jose Advincula OP,1357,0.010203007518796993,0.009677114563560567,0.010757582119855197
Cristóbal López Romero SDB,1355,0.01018796992481203,0.009662471322354897,0.010742151052575807
Juan José Omella,1354,0.010180451127819548,0.0096551498141164,0.010734435406570618
Charles Maung Bo SDB,1342,0.010090225563909774,0.009567297590375402,0.010641841779321941
Carlos Aguiar Retes,1340,0.010075187969924812,0.009552656613415275,0.010626408447772087
Blase J. Cupich,1335,0.010037593984962406,0.009516055505729887,0.010587823784167456
John Ribat MSC,1332,0.010015037593984963,0.00949409575974361,0.010564672067369413
Francesco Montenegro,1329,0.009992481203007518,0.009472136705541286,0.01054151965877968
Tarcisio Isao Kikuchi SVD,1327,0.009977443609022557,0.00945749772154193,0.010526084334246654
Américo Aguiar,1309,0.009842105263157895,0.00932576086233115,0.010387152416506253
Sérgio da Rocha,1308,0.009834586466165413,0.009318442892493636,0.010379433232060174
Antoine Kambanda,1305,0.00981203007518797,0.00929648945714223,0.010356275204555274
Carlos Osoro Sierra,1285,0.009661654135338345,0.009150151564501535,0.010201870011272585
Luis Cabrera Herrera OFM,1276,0.009593984962406016,0.009084310048745098,0.010132377138238797
Matteo Zuppi,1275,0.009586466165413534,0.009076994733128509,0.010124655299540502
Jean-Paul Vesco OP,1259,0.009466165413533834,0.008959960903395812,0.010001094660098781
Luis José Rueda Aparicio,1257,0.009451127819548872,0.008945333170761531,0.009985648084067995
António Marto,1249,0.009390977443609023,0.008886825598950706,0.00992385842117725
Roberto Repole,1247,0.00937593984962406,0.008872199549668933,0.009908410161773185
Ignatius Suharyo Hardjoatmodjo,1246,0.00936842105263158,0.008864886652130793,0.009900685904966828
Grzegorz Ryś,1243,0.009345864661654135,0.008842948469140357,0.009877512624917414
Arlindo Gomes Furtado,1239,0.009315789473684211,0.008813698751401935,0.009846613725254444
Augusto Paolo Lojudice,1238,0.009308270676691729,0.008806386535668311,0.009838888786635042
Philippe Ouédraogo,1232,0.009263157894736843,0.008762515044268462,0.009792537351894023
Anders Arborelius OCD,1228,0.009233082706766918,0.008733269108073973,0.00976163467063939
Wilton Daniel Gregory,1225,0.009210526315789473,0.008711335566161221,0.009738456749453735
Jean-Claude Hollerich SJ,1210,0.009097744360902256,0.008601679664325417,0.00962255533564583
Joseph W. Tobin CSsR,1205,0.00906015037593985,0.008565132111395589,0.00958391711663718
Odilo Scherer,1200,0.009022556390977444,0.008528586788309603,0.00954527666775547
Oscar Cantoni,1198,0.009007518796992482,0.008513969286520966,0.00952981986074879
Daniel Sturla SDB,1195,0.008984962406015038,0.008492043708881227,0.00950663397518657
Filipe Neri Ferrão,1194,0.008977443609022556,0.008484735363460207,0.009498905166204549
Pablo Virgilio David,1193,0.008969924812030076,0.00847742710845571,0.009491176266804804
John Dew,1184,0.008902255639097745,0.008411656900815438,0.009421612084752338
Dieudonné Nzapalainga CSSp,1184,0.008902255639097745,0.008411656900815438,0.009421612084752338
Vincent Nichols,1175,0.008834586466165414,0.008345894109114137,0.009352040486661153
Leopoldo Brenes,1171,0.008804511278195488,0.008316668604168687,0.009321117373888436
Baldassare Reina,1167,0.008774436090225563,0.008287444588302426,0.009290192772016079
Gérald Lacroix ISPX,1159,0.008714285714285714,0.008229001054228614,0.00922833907055084
Orani João Tempesta OCist,1158,0.008706766917293234,0.008221696036463227,0.009220606933867915
Fernando Chomalí Garib,1156,0.008691729323308271,0.008207086284924793,0.009205142376505868
Virgílio do Carmo da Silva SDB,1149,0.008639097744360903,0.00815595514927618,0.009151013430960983
Sebastian Francis,1145,0.008609022556390978,0.008126739460763515,0.009120080501619188
Stephen Chow Sau-yan SJ,1145,0.008609022556390978,0.008126739460763515,0.009120080501619188
Álvaro Leonel Ramazzini Imeri,1143,0.008593984962406015,0.008112132193354611,0.009104613460092652
João Braz de Aviz,1140,0.008571428571428572,0.008090222016114855,0.009081412173919067
Soane Patita Paini Mafi,1136,0.008541353383458647,0.008061009802983056,0.009050475769147047
Carlos Castillo Mattasoglio,1132,0.008511278195488721,0.008031799147604103,0.009019537806599863
Vicente Bokalic Iglic CM,1132,0.008511278195488721,0.008031799147604103,0.009019537806599863
Berhaneyesus Demerew Souraphiel CM,1127,0.008473684210526316,0.007995288031449077,0.008980863150315476
Thomas Aquino Manyo Maeda,1106,0.00831578947368421,0.007841968430215604,0.008818402506907805
Peter Turkson,1103,0.008293233082706767,0.007820069248129358,0.008795190225420357
Juan García Rodríguez,1101,0.008278195488721805,0.007805470301774755,0.008779714862718268
Reinhard Marx,1096,0.008240601503759399,0.0077689747232044986,0.008741024668619762
Chibly Langlois,1085,0.008157894736842105,0.007688693511489702,0.008655897180325927
Pierbattista Pizzaballa OFM,1076,0.008090225563909774,0.00762301825681398,0.008586238043941652
